Nom de l'entreprise;SIREN;Chiffre d'affaires;Marge nette
CAFE SIMON;978122885;1629948;-13
MAP YACHTING;500570775;1635902;10
SG AUTOS;847496353;1765971;2
PORT OUEST MARSEILLE;452827728;1911478;22
LES 4G EXPLOITATION;950739250;1931730;-11
DOMYS;898822952;1662941;47
CHADE;798590238;1609426;0
SH ANNECY;844057000;1619283;-4
SA MEISTRE;343092912;1554255;1
ITECH INSTRUMENTS;488453283;1968767;0
JEAN FRANCOIS BRANDO;057807364;1537797;66
SARL FRIGO DEPANNAGE;799784012;1984367;3
PRISMA INSTRUMENTS & GAUGE BOURDON FRANCE;523993863;1507698;2
PAIN ET PARTAGE MARSEILLE;813062791;1505520;6
HOTEL C2;791413065;1650048;-14
HOTEL SERVICE;494881733;1700811;1
GROUPE KIPING;922003850;1738309;26
INNOVATECH;880391230;1665703;7
DE PIETRO;451851661;1707512;-2
STTB MATERIAUX BARILE - BERTOSIO;353440563;1525045;11
MEDIELEC MEDITERRANEENNE D ELECTRICITE;405345117;1559902;-3
HOTEL DE L'ARBOIS;495362493;1630629;-29
ECORES;490655180;1589178;0
H2R;825081847;1570498;1
TERRE D'APPELS SE;909598138;1524084;-1
AMBULANCES 2000;319529020;1582370;4
PERNOD;901105254;1582129;2
SAM TELECOM;889185195;1916778;2
JASRIL;894395375;1783359;3
AR2G MODE & DESIGN;492601901;1843779;-19
DISTRI;388516353;1803996;4
BOUCHERIE PROVENCALE DU COQ D'OR;326903465;1644558;-1
MONDAY COMPETENCES;900067570;1874819;2
HOME ISOL';829099878;1940496;5
JLS MANAGEMENT MARKETING;842912149;1833673;-12
AMT;509995593;1867955;-5
ALDERBAT;513797068;1811559;2
GSI GLOBAL SERVICES INDUSTRY;908338320;1673957;12
JMS SUD EST;819250820;1904322;1
MPA;453542524;1500080;15
BDO MARSEILLE;401839451;1772919;5
CPECF-MARSEILLE;448375097;1595319;11
UIF GRANDS TRAVAUX;878182997;1659529;0
AUTOGRILL RESTAURATION CARROUSEL;392087953;1657086;-25
EENI EXPERTISES ENERGIES NUCLEAIRE INDUSTRIE;519252357;1575557;-13
LE MADELEINE PATHE MARSEILLE;324916444;1877960;-10
EVOL MARSEILLE AIX TOULON;851392472;1719145;-194
AIR LAB;814632675;1790249;6
SETCA EXPERTISE;902174432;1777776;1
SEASECURE;502544398;1541134;16
BLAMPIN SERVICES;907643134;2144623;6
U EXPRESS AUREVAL;487621989;2362273;-2
SOCIETE D'EXPLOITATION DES ETABLISSEMENTS JEAN MAVEL;507454809;2286648;15
YODA;398972539;2260878;11
PROVENCE PALETTES;433586864;2306894;7
B.H NETTOYAGE;813301611;2170554;2
PUB 118;494307143;2201959;4
ATSI CENTRE OUEST;823129101;2195570;0
WEPROTECT GROUP;525145504;2329500;0
NEW HOTEL VIEUX PORT;397889536;2080970;6
PYRAME MONE;447557190;2295905;23
LE SEQUOIA DE FOMPEYRE;519526370;2109071;-3
VALEA;519492490;2425527;-7
GESTION MEDIACO NORD;410679419;2403031;0
C.I.2.T. CENTRE INFORMATIQUE DE TELESURVEILLANCE ET TELEGESTION PRIVEE;347623951;2466148;25
EDEIS AEROPORT AIX, EAA;835299587;2255603;11
EURO EDIL FRANCE;891746794;2136708;4
FR FLOW CONTROL FRANCE BIDCO;848564431;2055178;-104
PRO ELEC DIFFUSION;499457810;2165270;1
ELIOPHOT;072800337;2308830;-4
ETCHEVERRY HARISCAIN;451162291;2207793;-10
SARL T.C.I.M.;478542442;2203615;1
BBA;532576733;2112935;-20
CLOS ET CHATEAUX;808591630;2190073;1
GASTALDI ELEC ET FROID;494102999;2133751;3
SARL HOTEL RESTAURANT LE RHUL;315133421;2126654;0
ARPALIG;877576785;2134744;4
MASTER PHIL;347458457;2127419;27
SODEFE;378115604;2272409;-10
MINOLUDO;803421221;2443233;10
STEEL SOLUTION;827912775;2026624;3
DV RETAIL MEDITERRANEE;537405854;2034589;7
VIC DISTRI-ONE;532514023;2403049;3
Résultats Trouvés;104352296;Non disponible;Non disponible
ENERTEC FRANCE;491841250;2013058;2
BIO POLIS;424354736;2374629;-41
O.R.T.P OLLIVIER ROCHE TRAVAUX PUBLICS;502455413;2090067;2
A C D ACHAT CONSEIL ET DEVELOPPEMENT;483302022;2447351;12
KENADON;893080358;2423540;-3441
SIHAM;444708093;2190230;-1
REMA MEDITERRANEE;317667822;2282083;1
LE BREGADAN;802329037;2479587;-29
QOMMUTE;485224455;2188677;7
MCLEAN SA;399651645;2132500;2
C. FERRATO;798002143;2212586;2
ECG BIDCO;901773911;2190938;-1074
AGENCE FUNERAIRE MARBRERIE PROVENCALE;752838755;2207485;24
CABINET DEVICTOR;063804355;2171145;21
APP AUTOPARTAGE PROVENCE;439356528;2054067;-7
ZINGUERIE PROVENCALE;517468369;2246767;7
DPR INDUSTRIES;814745279;2015607;23
LOCALICSOL;450092523;2303519;1
C.M.C. CROISIERES MARSEILLE CALANQUES;481949915;2347919;18
ON-E-NERGY;503567208;2350996;2
MASSILIA VOYAGES OCEAN INDIEN;834312068;2178573;4
CS TRANSPORT;843904939;2164696;1
E-HEALTH SERVICES SANOIA;528233190;2184369;21
SAMA;422070938;2298250;2
CITYA SOGEMA;523068179;2484660;22
SGMS;883508475;2308445;4
I.C2.M. INSTALLATIONS CLIMATIQUES CONCEPTION MAINTENANCE;408553881;2367456;2
MINIMARCHE SAINT JEROME;804920734;2066044;-6
SODEPORT;405403536;2454099;0
CUSTOM ARENA;534549829;2231456;-5
MARS MARKETING;404532848;2158100;5
CABINET DENTAIRE LA MAISON BLANCHE;500026463;2176504;8
SUBSEA TECH;485282370;2448706;4
PATCO;441859824;2059980;3
WIN-GROUP SOFTWARE;401189980;2354465;-9
SARL LE PORT;452442171;2492547;4
PROFIL MEDITERRANNEE;384695383;2158369;0
HOTEL GRIL MARSEILLE LA CALIXTINE ET CIE;345153647;2389146;-20
MJM GRAPHIC DESIGN MARSEILLE;909725640;2342614;49
DEFI DOK SCOUPAL FRANCE;340707827;2013598;-53
CLIMB UP BOUC BEL AIR;852002062;2294799;16
IACKA'SONO;421329731;2350635;2
TEMPO LOG;790850549;2115133;-51
DMCC;840338651;2278659;7
GARCIA INGENIERIE;398444885;2197870;-20
SUD HYGIENE;500623426;2241426;4
RESACTIVE;900809591;2001384;0
PNM;539327528;2107076;11
S.T.C.A.-SOCIETE DE TRANSPORTS DE COTE D'AZUR;839605292;2011439;-3
NATURAL SOLUTIONS;502333917;2325588;10
LES PISCINES DU GARLABAN;519903215;2194774;3
ARITI FRANCE;808519722;2193716;1
DISTRIROUET 13;512421744;2023831;-10
STIS;319202875;2366233;-4
LIFESTONE;408475002;2094712;22
TRANSPORTS NASTASI;449850700;2143127;5
SONORECO SOCIETE NOUVELLE DE RESTAURATION DU COURS;331703975;2124820;1
SUD ACTION HOLDING;441490547;2192715;38
BEN ROMDHANE SALIM;789590007;2430722;3
ARTEMIS;316769231;2181665;-2
SASU LOCA COM;832598692;2074012;14
TSOREN;828524454;2128264;2
SNB HOLDING;899429617;2446440;1
MAD MENUISERIE;810842120;2223780;1
TROYES PAF;811604297;2054091;11
INQUARTO CONSULTING;494615032;2262279;23
AZUR BAT;503383879;2169116;2
JUNIOR LE PONTET;880927256;2324557;-30
FINANCIERE CAPTAIN;844045245;2471204;-128
PHYSIO-TECH;450060629;2154872;9
ISR INTER SERVICES REALISATIONS;323911719;2258582;34
IFCEN;532928645;2231775;1
AMP MIDI PROVENCE;334733102;2318021;-5
ASI AUTOMATISMES ET SYSTEMES INDUSTRIELS;428954804;2341306;5
ANDIA DEVELOPPEMENT;912768108;2060005;-11
GFM GARAGE FOURRIERE MARSEILLE;394521702;2084326;-2
ENTREPRISE TESTONI ELECTRICITE GENERALE;637180142;2077719;6
BOULANGERIE BIO NOE;831472386;2000398;-16
AFM 13;791875545;2051417;3
SOMEFI;529330250;2006897;3
MNA AUTOMOBILE;820120293;2392272;1
CASH EXPRESS GROUPE;435020029;2026803;18
HENNER MEDITERRANEE;503009193;2261257;31
TORREFACTION NOAILLES;056805757;2485686;5
LAURI FLEURS;402539860;2269233;2
RESO INVESTISSEMENTS;395310857;2499914;69
POLY-NEA;509304069;2051904;11
ARIADIS;350275442;2028133;14
GESTION INFORMAT INTEGREE ABREV PG2I;478963507;2497220;5
SIROUN;889289773;2267127;2
TOMMASI INDUSTRIES;398671818;2061906;4
PLDP;795274265;2064566;4
ASHER;900398454;2369679;10
M2C LOGISTIQUE;484917745;2032198;21
NAOS ILS NAOS INSTITUTE OF LIFE SCIENCE;820613446;2351107;283
CRM 13;478908346;2494317;8
ID SUD HOLDING;838998482;2311802;3
DSR CONSEIL;891736027;2290134;20
NEX VISION;443193099;2347575;28
EAUX COLLECTIVES ET TRAITEMENTS;397799867;2235289;10
CHSP COMPAGNIE HOTELIERE DE SAINT PIERRE;377593413;2379400;22
PHARMACIE BELAROUSSI;350689949;2275926;4
SETGM SOCIETE D EXPLOITATION DES TRANSPORTS GILBERT MEILLEURAT;339817694;2029950;2
BONDIL ASSAINISSEMENT;318167582;2449612;-18
SARL CUISINE PLUS PROVENCE;331704056;2232209;4
MP MEDITERRANEE PREFABRICATION;328524145;2344449;-74
HUVEAUNE RECYCLAGE;831137500;2017546;-28
DPF D P F;444430367;2087134;99
ILF-EHP INSTITUT LA FORBINE - ECOLE HOTELIERE DE PROVENCE;418756565;2061409;21
DECOBOIS;311603187;2372757;-9
FINSECUR MARSEILLE;330456849;2134093;-16
RISK MANAGEMENT SAFETY;893201756;2036805;7
BOUCHERIE CAZIN;791281157;2837792;6
MELLONE CONSTRUCTION;534056148;2525415;279
FLEUR DE SEL RECEPTION;519600985;2554626;0
C G M CONSTRUCTION GENERALE MENUISERIES;478487150;2518890;-0
CERSA CONCEPTION ETUDE ET REALISATION DE SYSTEMES AUTOMATISES;320709710;2859596;7
SELARL PHARMACIE SAINT BARTHELEMY II;843123191;2700802;8
S.G.C. ENERGIES;804803682;2955860;6
TGS TOLERIE GAINES SERRURERIE;312613128;2535883;3
DELAU;489857060;2808034;2
MAINTENANCE PRODUCTIONS INDUSTRIELLES;851998682;2673683;6
DELTA BAIE;422940825;2866371;2
BC BEYAZTAS CONSTRUCTION;802869370;2520261;2
VOLTACARRY;538496191;2756816;-5
SOCIETE PRADEX;326026846;2881644;-10
MIEUX BATIR 13;893097568;2759788;14
MHC MARSEILLE HOCKEY CLUB;832541536;2759173;-0
DOMAINE DE L'ESTEREL;820515211;2827065;-28
TRANS BETON SUD;819399791;2868846;-14
SPIRIT MOTOR AIX;500970363;2592330;-0
MILA MODULAIRE;841332885;2904204;-1
AS DIS SARL;491230454;2581214;7
FINANCIERE DE L'ARC;533727079;2759292;138
MARSHEL;395224975;2547003;-10
ENERGETIQUE SERVICES;833868391;2627691;7
HYDRAPARTS;439618513;2781918;11
THERMI-TECH;803275197;2803032;3
FIDUCIAIRE ET INFORMATIQUE GENERALE;312382591;2961546;6
SYNAPSYS;392307880;2635481;15
OZ;338496383;2531843;-4
SAM IMMOBILIER;514953850;2738055;22
SIGEC SOCIETE D INFORMATIQUE DE GESTION ET DE COMMUNICATION;333073062;2741281;12
I.F.T.E AIX.;491633855;2990705;41
ISIS;379543838;2802390;-33
MISS VIANDE;810537225;2538234;0
SOCIETE DE TRANSPORT TRAGLIA -STT-;441349727;2599102;0
TABLE WEAR;441379195;2931822;2
EGCEM ETUDES DE GENIE CIVIL ET D'EQUIPEMENTS MEDITERRANEE;301075735;2504860;7
SATORIZ GRAND SUD;431265842;2535535;-4
SOCIETE PIGA ET ROVERA;058804568;2980250;2
DE L'HOTEL DU VIEUX PORT;489217422;2873198;-1
LOUIS BERNARD ET SES FILS;058811084;2786401;4
DALTYS COFFEE & FOOD;403486509;2854182;4
C.S.P.P. CENTRE DE STOCKAGE ET DE PREPARATION PREMIUM;841222839;2836382;-6
VINA CABRIES;531217917;2580111;2
AUBAGNE ACCESSOIRES;420392516;2822078;-3
CHAMARELIE;434620886;2682946;5
DALMAS PRODUCTION;338890171;2883235;4
SARL DE CONSTRUCTION PARDUZI;441412178;2722433;11
ORDIGES FRANCE;750867442;2727007;0
LE POSEUR;530924562;2546951;5
JOBINLIVE;490211042;2856829;18
TECHNIC CONSTRUCTION MEDITERRANEE;513627752;2507660;1
SC PACA;831011556;2568546;0
PERRO;804529824;2625458;6
MARS MAINTENANCE ASCENSEURS REGION SUD;442088399;2571964;1
CANNAU SAS;314953019;2580793;3
EXALT PROVENCE;949399687;2629078;-1
PERLA;531533628;2766467;0
ETABLISSEMENTS BOURRELY;611620048;2687101;14
H2 MEDIA;831846373;2545844;29
TORTORA AUGUSTO JEUNE;057820334;2535919;1
EDP ETIQUETAGE DIFFUSION PACKAGING;405376898;2602165;1
MAXI POMPAGE;351611280;2872510;-9
ARKADIA NDT;829916204;2981976;16
PATISSERIE REYNIER;527554752;2506759;2
VM 13010;902388081;2542708;1
TAMAIS;824380141;2782686;2
KARTING INDOOR PROVENCE;522740752;2559574;16
DISTRI P;751542580;2508864;1
FIL ROUGE;807539101;2848813;1
MONCASSIN MATERIEL;334159639;2550016;10
LUG LES USINEURS DU GARLABAN;415200799;2865461;5
PROGEREAL PROMOTION GESTION REALISATION;326518727;2755352;10
STERIPURE;750497679;2978001;7
A C 13;480956697;2560448;11
S.T.R. - SOCIETE DE TRANSPORTS REMOIS;832337794;2582968;3
SYNANTO AIX EN PROVENCE;531034114;2873900;4
H1;808302343;2537049;4
SMP SOCIETE MARSEILLAISE DE PRESSE;921014544;2961199;-0
ADL AGENCE DE LOCATION;333450914;2570406;17
MACGREGOR FRANCE;798414132;2824745;2
JALIS INVEST;811379460;2989101;106
MOREL - CHARPENTE COUVERTURE ETANCHEITE;920646916;2843620;-7
"""CCID"" CIE CIOTADENNE INVESTISSEMENT DEVELOPP";441568748;2578065;3
ASSURALLIANCE;493511737;2521448;16
RESIDENCE LA PAQUERIE;488142191;2559666;-55
FJA PIZZERIA JEANNOT;812774214;2811082;1
SUD PEINTURES DIFFUSION SAS;064804313;2501954;5
DATA BURO;414734525;2629359;3
MILAIX;790163299;2964689;-3
JADE CONSTRUCTION;882408941;2726911;5
SOCIETE DE MANAGEMENT LOGISTIQUE & PRODUCTION;908506868;2923420;0
ALLO EXPRESS;452923683;2539494;-11
FOSELEV INTERNATIONAL;504169541;2912770;0
AMAXTEO;501485080;2817602;2
EUROMIST EUROPEENNE PARTICIPATION ET FINANCEMENT;344654058;2990518;10
GENER ELEC;382846186;2717907;6
PIERROT COQUILLAGES;512380882;2917285;6
ISO INGENIERIE;380691311;2958169;11
SN SMTM FROID;830630745;2812159;1
MARSEILLE COURSES;313297988;2590439;1
TTS;898363452;2676570;3
JULIEN CHR;442867008;2875954;-2
CF RENS. COMPL. SURVEILLANCE INTERACTIVE DE GARDIENNAGE;414594770;2888719;2
ERGHOT ETUDE REALISATION GESTION HOTELIERE;338534464;2733962;87
SOC UNILEX MARITIME;332901289;2509290;4
GENTILETTI;073801979;2914219;8
NEWSTEO;484468178;2644268;-3
TOKYWOKY;791987977;2587183;6
GAIA ENERGY SYSTEMS;890798044;2909992;25
SYNCHRONE RECRUTEMENT;518688536;2868000;62
IMAGERIE MEDICALE PHOCEENNE CENTRE EST;484736806;2508879;-33
ATD EXCHANGE;444027650;2863201;-3
RAVEL;444781603;2980928;20
SAEC-CPECF SOC AIXOISE D'EXPERTISE COMPTABLE;721620151;2629183;12
KN SYSTEMES;419030796;2808647;16
BDO REAL ESTATE;799684634;2802722;6
BIO & CO LE MARCHE BOUC-BEL-AIR;750542763;2786879;-4
STUDIA INGENIERIE;791975204;3387089;-99
MAURIZI BOUCHARD & CIE;306040510;3056166;8
SOTIS 13;388806713;3466550;-1
EMPC;850036229;3359243;3
SO ME FU STE MERIDIONALE DU FUNERAIRE;402930440;3406988;2
CO.OL EXECUTIVE;508856150;3124243;6
"FIP ""FASHION INDIES PROVINCE""";387498389;3365416;-5
A PLUS SOLUTIONS;513343269;3389740;3
HIGH CO BOX;790108930;3395350;17
SOCIETE DES GRANDS HOTELS DU PORT;057804684;3052118;9
PHARMACIE PRADO SAINT GINIEZ;497707224;3229468;2
RESIDENCE JEANNE D'ARC SARL;441338712;3240244;6
SERRURERIE DE LA PARETTE;324969872;3465421;7
SAS PROFILS;834922908;3196516;10
NEURO-SYS VIVO;853663193;3123410;12
NETTOYAGE 2000;488498395;3065629;2
GROUPE INTERWAY;518009907;3401147;116
GLIOZZO MANUTENTION;485280465;3216721;-2
AVENIR TERRASSEMENT;538975327;3374591;3
SOYAGE;814292835;3313914;8
PROVENCALE D ALUMINIUM;315738021;3205581;3
CONEX;534288196;3147511;-12
GS TAG;403270838;3025346;4
ADEQUAT;882108731;3493096;-3
AIX RACING SHOP;309543056;3463484;1
CEMI CABINET D'EXPERTISE DU MIDI;320943798;3013238;1
A.A.A ASSISTANCE AIX AUTOS;510922842;3019599;8
IDDEE 13;533744991;3130136;12
PROVENCE ENERGIE SOLAIRE SERVICES;477561765;3014724;1
LES COUSINS;397568064;3492732;8
FOSELEV SOLUTIONS TRANSPORTS;821976735;3394004;-9
ODE MANAGEMENT PROJECTS;804987238;3184074;112
MCC AUTOMOTIVE;815152467;3058199;-76
ALPHA GROUP;827642786;3483620;74
SERENA CATERING;499792695;3370268;3
SYNERGIE ENGINEERING PACA;792972150;3186622;1
CEJIP SERVICES;412233231;3001238;3
SMT FRANCE SAS;882873425;3006130;3
ARCOSUR FRANCE;852538511;3264139;-2
ALTERSIS REGIONS;389413816;3149476;-34
PERIMMO;419541503;3334500;198
LA COMPAGNIE FINANCIERE DU TOURISME;794325563;3260981;168
NOVALFI PARTENAIRES;485399448;3261419;32
BEAUTY NAILS;344185319;3176830;8
OPTIONS SUD;480075704;3345718;-6
SELARL RESONANCE V NORD;445401656;3395061;38
SANTONS ESCOFFIER;319118949;3326898;14
NOVAFRANCE ENERGY;752075713;3173055;-12
VLBKMA;887755197;3360255;2
CLASSIC WORKS;444791966;3013247;2
PRYSM;408081008;3415813;7
ACTRI;322250481;3352162;2
HYGIEAU FRANCE;439970674;3036653;15
NOUVEAUX AUTOCARS DE PROVENCE;434789707;3789010;24
KEROZEN INDUSTRIE;431262476;3988424;1
ATOUT MAILING SERVICES;451340905;3825752;8
BOUDON SA;636586331;3571850;0
HIGH CO EDITING;491880209;3698212;9
SOCIETE A.E.S.;385076195;3733026;2
AUTOMOBILES DU SUD;812825222;3726511;4
SARL L.Y.C NEGOCE INTERNATIONAL;834153686;3543186;8
SANTE MOBILITE SERVICES;817488125;3821036;-3
LITTORAL;341441384;3752919;-2
GILCLAUDE;337534655;3577755;1
YATOU;382124626;3914184;7
S.A.S. TURCO;391931128;3754366;6
RANTANPLAN JOUETS;398694638;3801079;2
E G S O;494703994;3556473;1
PHARMACIE DU ROVE;789788528;3947897;5
SN SMTM SERVICES;480955319;3657492;0
LES LAVANDES;449537208;3552729;2
CADENTIA;413680182;3714623;12
SEPROCI ETUDES PROMOTION COORDINATION INGENIERIE;380598268;3519430;16
CENTRE CASSIOPEE;788447324;3986373;2
LAMBDA MONTE MEUBLE;502238322;3613835;2
FOSELEV LOGISTIQUE;790049647;3802468;13
ELECTRICITE NAVALE INDUSTRIELLE E.N.I.;439802034;3792144;6
DEAL;451341101;3611408;12
LAURALBA CONSEIL;421087461;3507997;-9
MAISON JUNE;347923989;3666152;-12
MILKY INTERACTIVE HIGHCO MINDOZA;511233868;3930458;2
AZUR PROMOTION;847722956;3793111;2
LE FROMAGER DES PENNES MIRABEAU;829011915;3791444;11
ATSI RHONE ALPES;481834661;3841899;1
B2M DISTRI;814453858;3786411;3
SAS HOTEL DES PERGOLAS;798206082;3714744;0
I.T.E.C. IODA EXPERTISE COMPTABLE;482262854;3712011;10
SUD TP 2 SUD TRAVAUX PUBLICS ET PRIVES;380265009;3863719;4
SANTORIN PARTICIPATIONS;880285853;3846940;-136
+TP;753011766;3508829;-4
SODEPLAN;414221754;3922416;5
EUROFINS HYGIENE HOSPITALIERE SUD;483136594;3654867;-3
EURL VACANCES LEO LAGRANGE;451542898;3589963;-5
SOCIETE TARDY;060800349;3695405;1
BLANCHISSERIE 2000;430014324;3821993;-17
SONNEDIX FRANCE OPERATIONS;513023358;3930498;6
SOL ESSAIS INVESTIGATIONS;814165940;3590275;0
EUROFINS HYDROLOGIE SUD;415110808;3598949;-19
SA SACCOCCIO;379758915;4066533;0
LES JARDINS D'ARTEMIS;438468936;4035746;19
LA CADIERE;449159961;4294216;14
LES PALMIERS;834036717;4252806;4
PACHA DISTRIBUTION;451202279;4201563;-6
C.A.R.H.I.S;502598360;4392101;0
CEJIP ENTRETIEN;404283913;4427000;0
CIRA CONTROLE INDUSTRIEL REGULATI AUTOMATISME;334977329;4001564;10
SALOMA;889562914;4344144;1
SAFRAN;491738969;4148354;42
FORASUD;315770701;4411575;7
MAUPETIT LIBRAIRE;418473922;4269305;4
ACCESS BATIMENT;788588267;4348682;0
SELARL PHARMACIE DES FONTAINES;504314972;4276343;1
ASIA ATLANTIC GROUPE;401361134;4183345;1
ENTREPRISE VENTRE;421214487;4488200;4
A.M.M.POGGIOLI;394198998;4139768;7
CLIMELEC ENTREPRISE;418666574;4474958;9
MMP;493490213;4432794;-2
EHF GROUPE ECOSYSTEMES DE L'HABITAT FRANCAIS;810570150;4409677;15
CITYA CARTIER;347503583;4042764;10
LES CAMOINS;509554705;4143783;-3
BIOTECHNA;326532686;4292128;16
SEVME INFORMATIQUE ET SCE (S.I.S.);479183121;4030070;7
CAP BOOSTER;531628964;4000183;39
JAPAZUR;348957804;4199969;-0
HOLIDU HOSTS FRANCE;878385640;4359673;3
REYNE JRL;900202474;4484134;0
CARVOLIX;837722560;4372232;-89
BARA DISTRI;897431888;4248516;0
DATRANS;348116658;4358550;8
SEASON OF MIST FRANCE;812870343;4110844;5
S.P.C.M;490192044;4077370;3
TRANSCOOL 13;843869983;4469227;1
TSI TELECOM;824768063;4056353;-4
LA BASTIDE SAINT-JEAN MAISON DE RETRAITE;060800968;4088895;-1
GENERALE DE SERVICES ET D'ASSURANCES;408746543;4119881;21
LA CIGALE DOREE;063802557;4013431;-1
VLBKV;829575141;4096587;10
ALCYON;380905281;4050859;8
MB DIFFUSION;894021344;4077466;2
RESIDENCE L'OPALE VERTE;325173714;4187917;-49
LA MAGALONE;414211664;4385120;6
N.G.I. MECALEV;392081063;4287393;7
M.G.P.;433809928;4209236;4
LUTECEA;845181379;4168347;2
PROVENCE RAVITAILLEMENT;508889094;4322524;3
SARL MIDI CHARPENTES;333798643;4111149;7
L K ALIMENTATION;527763064;4040224;3
DCB 3;320378987;4488156;0
SCOP T.I SOCIETE COOPERATIVE OUVRIERE PROVENCALE DE THES ET INFUSIONS;805019791;4321778;-9
GEM INDUSTRY;071802698;4063483;0
QUALITHERM;810697482;4029695;8
GROUPE SOMEFORM;478838048;4363042;13
JLM ST LOUP;831833462;4395313;-4
RESIDENCE LES TERRASSES DE LA PIOLINE;484984810;4353189;-69
CLINIQUE SAINT BARNABE;408711968;4459255;3
RESIDENCE L'OUSTAU MIRA BEU;339701088;4062123;-38
LE FROMAGER DE MARSEILLE;822574653;4069611;12
CLINIQUE VALFLEUR;068802826;4203840;4
PROTECTION FINANCIERE;533249033;4185782;1
ECSPLICITE;382560506;4080928;19
COGEPART GROUPE;803489186;4428913;-145
GRASSE CONFORT;405404567;4053443;22
FINANCIERE CMT;824185318;4128689;11
TREEKER9;800946477;4284706;-6
JMJ DISTRIBUTION;485310098;4094657;10
ONE TECH;503569667;4159660;21
KIPING GENIE ELECTRIQUE ET MAINTENANCE;504236225;4314776;8
MOUREPIANE;529272643;4234466;9
PINNA ET ASSOCIES;407933894;4351214;9
ATEC AGENCEMENT TECHNIQUE ET CREATION;352723803;4422604;2
LE GROUPE LA MARSEILLAISE;890203375;4149003;-25
SUD PLAISANCE;322926171;4386530;-29
PROVENCE CAFE;349013888;4130211;3
KRINGS INTERNATIONAL FRANCE;325930279;4062552;5
RIDER VALLEY;512644147;4412155;-90
SEC SUD EST CALCUL;349372292;4402840;6
PPS LA MAISON DE L'ETANCHEUR 13;422751602;4211932;-0
PELLEGRIN BOUTIQUE;311733778;4407825;15
IPS;498788249;4787216;0
SATORIZ AUBAGNE;519303242;4794169;-1
MOBILINK;379906563;4712571;13
GLM;321275372;4707739;5
LUKLA MEDITERRANEE;498687417;4915313;1
G.E.M.F. GROUPE DES EDITIONS MUNICIPALES DE FRANCE;691620504;4608811;1
ATSI-NORD;524363249;4838330;7
NICESOFT - SEGAMI;418126710;4711214;14
CODA INTERIM;797453628;4556184;-1
F.A.P FRANCE ASSAINISSEMENT PETROLIER;500222740;4791706;5
PHARMACIE SIMONET BOTELLA;423899269;4768650;0
RESIDENCE LES JARDINS DE VALTREDE;379513666;4649155;-3
AVEMAT;501937742;4776722;1
FONDERIES DU MIDI METAUX NON F;636880189;4854873;4
AGRI FALLEN;411477136;4916741;1
GIVAL-FRANCE;348321910;4975370;12
KF DIFFUSION;820956076;4900874;12
VILLA JEAN CASALONGA;484796701;4522358;1
GAROLLES;442972915;4568811;-0
NASA NACELLE SERVICE ASSISTANCE;322846056;4964932;14
LVP SAS;521692285;4714809;-12
SOPREN SOCIETE PROVENCALE D ENTRETIEN;350098505;4900037;0
BTPS MEDITERRANEE;423914910;4805867;6
PRIMA;335088555;4765584;11
ATSI ASSISTANCE TECHNIQUE SECURITE INDUSTRIEL;348086562;4639533;38
ATTARD TRANS;398845313;4722884;-2
NOVALYO SUD;538485509;4820156;16
I.T.P.L.;418332011;4706515;2
KPC ERP;908816697;4892227;-5
SOPHONET;318477569;4632572;0
EMIGA ETS MARSEILLAIS D'IMPORTATION DE GOMME ARABIQUE;057804411;4962985;1
CKLO.BAGNE;852763721;4504356;2
SAS DIFFUSION INDIES PARIS;552032898;4845835;0
SOC NOUVELLE ETS BALLESTEROS;329105878;4705285;2
SYNERGIE CAD PROBE;478017197;4555634;6
UNIFER;803142777;4895745;50
CONTAINERZ;788570745;4583036;2
LE CLOS DE L'ORCHIDEE;493648307;4746270;8
PROFIL;391002755;4915156;0
JULLIER NEGOCE BOIS;485113831;4718339;-4
LAVANCE SERVICES PACA;452176548;4614959;9
CHATEAU DE L'AUMONE MAISON DE RETRAITE;320879620;5286169;1
SYNERGIHP MEDITERRANEE;880366257;5291646;2
KEYBIO;384238523;5360562;10
PRO ARMATURE MARTIGUES;808262448;5064855;6
ASTOR INDUSTRIE;397836933;5194598;2
SAS S.I.D. NUTRITION (SOCIETE INTERNATIONALE DE DISTRIBUTION EN NUTRITION);392079471;5246395;2
GROUPE OMNIUM DEVELOPPEMENT;891845158;5271526;12
SODEVI;387911225;5414104;4
MAP- MARSEILLE ARCHITECTURE PARTENAIRES;533080529;5247232;7
C2C PROVENCE;452845662;5310002;2
S.A.S. HOTEL OF MARSEILLE;482068335;5018541;7
SPEF SOCIETE PROMOTION EMPLOIS FAMILIAUX;408555035;5419575;-4
LE FROMAGER DE SABLIERE;844398180;5207450;14
REYNEVO;810543140;5352860;0
GENWAVES;751646332;5421448;7
SOCIETE MERIDIONALE D ASSISTANCE ET DE PARTICIPATIONS SOMAPART;400921342;5104300;0
AJR MEDICAL;512611617;5106492;5
CIPA COMPAGNIE IMMOBILIERE PERRISSEL ET ASSOCIES;054804166;5135242;0
ROLLAND DISTRI;835170754;5298404;1
C.O.P. AIX-MARSEILLE COLLEGE OSTEOPATHIQUE DE PROVENCE AIX MARSEILLE;804119592;5122224;23
ROQUEVAIRE AUTOMOBILES;313608275;5238156;6
P.I.B SOLUTIONS;529123374;5377379;6
TEMPOLOG71;817439300;5021195;8
ELARTO;437702095;5145826;1
VAP MARSEILLE 2;531193431;5376996;14
SA LE CHENE VERT;329022214;5138883;3
