Nom de l'entreprise;SIREN;Chiffre d'affaires;Marge nette
SUD-EST ASSURANCES;498596352;3716133;3
UDJ13 UNIVERS DU JETABLE 13;389515305;3620792;3
ZE BOX;839558350;3811465;-20
FLEETENERGIES;983980657;3539822;10
LE SON DES VOUTES;790321228;3531648;1
NESLI;813505534;3657164;-8
MAURIC;331430306;3852333;10
HARAS DE BEAUMONT;844855601;3549663;-60
13 PRODUCTIONS;477611685;3517707;-7
TANIT;802170274;3511829;0
RESIDENCE LES TUILERIES;353995566;3861604;-13
SAINT-CHARLES;493229355;3592251;4
SODEVIP;878503614;3909276;1
LA MICHELE;422830174;3803735;2
NEWTON OFFICES MANCO;901127332;3750754;2
CMA AUDIOVISUAL;982949166;3692436;-5526
SODEBON;887758894;3787098;0
CREDIT-PACK;530838127;3850148;3
CENTRE VERTES COLLINES;344640206;3879112;1
ISATEC;382835924;3601829;3
DIRECT ARMATURES;828260760;3548067;6
CHATEAU SAINT JOSEPH DE FONTAINIEU;383715554;3756098;-6
STAYCITY MARSEILLE;822902052;3647620;-4
AURES EXPRESS;830202974;3877057;2
ROS & CO;812940435;3956396;9
BSLENTREP PRIV GARDIENNAGE SECURITE;444483770;3574632;0
CEGELEC LANGUEDOC;537908261;3733276;-4
SEETRAV TOURISM;432720746;3637191;1
RESIDENCE DES TREIZE SOLEILS;478099583;3904112;-0
VACANCES BLEUES GESTION;451238240;3652740;22
SENERGIES;520130857;3691596;4
INFOSTRATES;418748125;4785636;2
EXETECH;381768506;4775040;10
SOMECIN WORLD TRADE CENTER MARSEILLE PROVENCE;070805320;4736178;-5
IPEM HOM INNOVATIONS POUR ELEGANCE MASCULINE;068801109;4739275;-13
SAINT MARCEL DISTRIBUTION;819100306;4876430;-2
LES GRANDES TABLES DE LA FRICHE;513910273;4565116;-0
PRIMOSUD;339901365;4947481;-11
ADD;511118333;4642801;-4
TEMPOLOG84;824967038;4638861;4
LE CHATEAU DES MARTEGAUX;782957021;4648491;-4
DAMIEN LECLERE MAISON DE VENTES AUX ENCHERES;492914551;4595539;-6
KAFREMBO;424670156;4503212;62
SAFEBRANDS S.A.S;412721524;4623914;-15
GYNECO MARSEILLE;515311900;4527953;7
MOOREA DEVELOPPEMENT;809271141;4970072;1
LES EDITIONS DES FEDERES;809056336;4868373;-56
POLITEXT;316769264;4717388;-0
ZINNIA LNG SHIPPING;911984771;4777747;-11
ACCESUD;789783560;4583028;0
SIGA SOC IMMOBI GESTION ADMINISTRA;305233850;4962900;0
SOCIETE D'EXPLOITATION DE L'HOTEL MARSEILLE PRADO S.E.H.M.P.;750865099;4844195;-0
PRONOVIAS FRANCE;056807290;4763298;2
ALIZE 1992;497705145;4697038;64
A C R TRAVAUX;428137582;4878669;2
SQUARE HABITAT CABINET LIEUTAUD;329072003;4505751;-12
TGI T G INFORMATIQUE;333659217;4825907;0
TONIC HOTEL MARSEILLE;384339883;4622271;19
RETAILORS LES TERRASSES DU PORT;903582583;4574834;8
ALIZE 1993;497705368;4652731;64
HARLEY DAVIDSON MASSILIA;342958071;4894919;1
AVENIR TELECOM;351980925;4906000;-149
SAINT TROPEZ DISTRIBUTION;819443136;4693037;6
CABINET DU DOCTEUR MERABET;753781509;4526021;7
DOCOON IMMO;523445211;4636363;23
MEDIACO MARSEILLE MANUTENTION;790327399;4583200;-3
SIVANE;490490042;4664495;1
BY CARS;879275519;4797100;-1
COGEPART INTERNATIONALE;394309389;4964399;-0
KEHUA FRANCE;840491286;1165133;-0
BET LAMOUR;848487252;1329595;6
LC2I LA COMPAGNIE IMMOBILIERE D'INVESTISSEMENT;393616818;1132877;9
ECOTOITURES SOLAIRES 2011;511225930;1083952;9
DIGITECH DEVELOPMENT;830788485;1217977;-26
ATL TRANSPORTS;537506768;1016256;1
RECUPERATION SERVICE;317443349;1247678;1
